Classification;Year;Period;Period Desc.;Aggregate Level;Is Leaf Code;Trade Flow Code;Trade Flow;Reporter Code;Reporter;Reporter ISO;Partner Code;Partner;Partner ISO;Commodity Code;Commodity;Qty Unit Code;Qty Unit;Qty;Netweight (kg);Gross weight (kg);Trade Value (US$);Flag
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;156;China;CHN;9;Coffee, tea, mate and spices;1;No Quantity;0;0;;10402394;0
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;251;France;FRA;9;Coffee, tea, mate and spices;1;No Quantity;0;0;;166108682;4
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;251;France;FRA;9;Coffee, tea, mate and spices;1;No Quantity;0;0;;44924545;4
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;276;Germany;DEU;9;Coffee, tea, mate and spices;1;No Quantity;0;0;;171533490;0
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;276;Germany;DEU;9;Coffee, tea, mate and spices;1;No Quantity;0;0;;28081342;4
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;699;India;IND;9;Coffee, tea, mate and spices;1;No Quantity;0;0;;139314922;4
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;699;India;IND;9;Coffee, tea, mate and spices;1;No Quantity;0;0;;1012675;0
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;156;China;CHN;10;Cereals;1;No Quantity;0;0;;1121558;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;156;China;CHN;10;Cereals;1;No Quantity;0;0;;387225;4
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;251;France;FRA;10;Cereals;1;No Quantity;0;0;;213459526;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;251;France;FRA;10;Cereals;1;No Quantity;0;0;;22523125;4
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;276;Germany;DEU;10;Cereals;1;No Quantity;0;0;;73338888;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;276;Germany;DEU;10;Cereals;1;No Quantity;0;0;;31571595;4
H5;2017;2017;2017;2;0;1;Import;826;United Kingdom;GBR;699;India;IND;10;Cereals;1;No Quantity;0;0;;217919914;0
H5;2017;2017;2017;2;0;2;Export;826;United Kingdom;GBR;699;India;IND;10;Cereals;1;No Quantity;0;0;;5242;0
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;156;China;CHN;10;Cereals;1;No Quantity;0;0;;986080;4
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;156;China;CHN;10;Cereals;1;No Quantity;0;0;;270423;4
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;251;France;FRA;10;Cereals;1;No Quantity;0;0;;237619451;0
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;251;France;FRA;10;Cereals;1;No Quantity;0;0;;24345682;4
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;276;Germany;DEU;10;Cereals;1;No Quantity;0;0;;76784814;0
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;276;Germany;DEU;10;Cereals;1;No Quantity;0;0;;26124739;4
H5;2018;2018;2018;2;0;1;Import;826;United Kingdom;GBR;699;India;IND;10;Cereals;1;No Quantity;0;0;;81945848;0
H5;2018;2018;2018;2;0;2;Export;826;United Kingdom;GBR;699;India;IND;10;Cereals;1;No Quantity;0;0;;65304;4
